Control, Input, SWNOutput, SWNDrain, SWPOutput, SWPDrain
0,0,0,0,0,0
0,10,1.6654,0.8553,0.6399,0.5164
0,20,3.5056,1.6133,4.2294,1.2781
0,30,5.5212,2.2821,12.5358,2.5806
0,40,7.712,2.87,25.7516,4.537
0,50,10.0771,3.3852,42.5675,7.0654
0,60,12.6151,3.8361,49.3501,9.9315
0,70,15.2969,4.2475,56.6038,12.8346
0,80,18.2061,4.5732,62.5232,15.5212
10,0,1.6654,0.8553,0.1786,1.3854
10,10,7.5426,2.9542,0.6944,2.3078
10,20,11.8235,3.9158,2.5418,2.9938
10,30,16.1081,4.6092,6.8026,3.9768
10,40,20.519,5.1446,13.974,5.4873
10,50,25.092,5.577,18.5025,7.5834
10,60,29.8377,5.9425,27.2471,10.1501
10,70,34.7757,6.177,35.6477,17.6629
10,80,39.9229,6.4368,43.4614,20.7895
20,0,3.5056,1.6133,0.193,2.879
20,10,11.8157,3.9182,0.7395,3.9924
20,20,17.5298,4.8355,2.2234,4.8082
20,30,23.1186,5.4682,5.5574,5.8588
20,40,28.772,5.9543,11.1708,7.3765
20,50,34.5463,6.3612,14.716,9.4349
20,60,40.4584,6.7322,21.6922,11.9411
20,70,46.6772,6.8953,30.1592,21.3381
20,80,52.9595,7.2184,37.5934,24.5425
30,0,5.5212,2.2821,0.1385,4.4925
30,10,16.087,4.6158,0.7228,5.7173
30,20,23.1035,5.4726,2.0069,6.6766
30,30,29.8534,6.0627,4.8089,7.8396
30,40,36.5915,6.5362,9.4882,9.4255
30,50,43.3942,6.9658,12.3992,11.5052
30,60,50.2857,7.3974,18.2131,13.991
30,70,57.6103,7.5478,23.1717,24.8313
30,80,64.8128,7.9986,29.561,28.0392
40,0,7.712,2.87,0.111,6.2348
40,10,20.4789,5.1567,0.6731,7.5088
40,20,28.7347,5.9643,1.8391,8.6108
40,30,36.5682,6.5415,4.293,9.9005
40,40,44.2998,7.0423,8.3325,11.5766
40,50,52.0274,7.5401,10.7833,13.6985
40,60,59.7836,8.0807,15.7414,16.1759
40,70,68.1104,8.2692,25.4377,28.2185
40,80,76.0979,8.9002,33.9537,31.382
50,0,10.0771,3.3852,0.2049,8.112
50,10,25.027,5.5953,0.6274,9.3806
50,20,34.48,6.377,1.7266,10.6188
50,30,43.3398,6.9762,3.9426,12.0375
50,40,51.9956,7.5447,7.5171,13.8095
50,50,60.5681,8.1538,9.5075,15.9781
50,60,69.0999,8.8476,13.8994,18.4463
50,70,78.3496,9.121,19.4952,31.5217
50,80,87.016,9.9774,25.239,34.6034
60,0,12.6151,3.8361,0.5115,10.1276
60,10,29.742,5.9672,0.6275,11.3408
60,20,40.3566,6.7532,1.6926,12.7054
60,30,50.1933,7.4116,3.7448,14.2486
60,40,59.7127,8.0879,6.9707,16.1134
60,50,69.0604,8.8496,8.7581,18.3238
60,60,78.2899,9.7371,12.5118,20.7745
60,70,88.3935,10.1388,16.115,34.7466
60,80,97.6471,11.2604,22.1489,37.7161
70,0,15.2969,4.2475,0.6372,12.3104
70,10,34.7757,6.177,1.2158,15.9682
70,20,46.6772,6.8953,1.2971,19.1888
70,30,57.6103,7.5478,3.6424,22.7415
70,40,68.1104,8.2692,5.4655,26.6345
70,50,78.3496,9.121,7.3223,30.6566
70,60,88.3935,10.1388,10.9213,34.4973
70,70,98.2659,11.3461,12.1632,37.8927
70,80,108.0231,12.7676,16.5249,40.725
80,0,18.2061,4.5732,0.7239,14.6101
80,10,39.9229,6.4368,1.9305,18.457
80,20,52.9595,7.2184,1.2073,21.9555
80,30,64.8128,7.9986,3.5933,25.755
80,40,76.0979,8.9002,4.0545,29.8158
80,50,87.016,9.9774,6.758,33.8964
80,60,97.6471,11.2604,8.9215,37.6871
80,70,107.9704,12.7585,10.5519,40.9563
80,80,118.153,14.5106,13.2627,43.6312
